"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane"
"1","Austria",31900.1115573641,NA,26977.3120358743,553.638226394808,NA,17066.9343727348,5212.68024668868,NA
"2","Belgium",22568.4066521332,NA,8390.22233123917,NA,NA,3567.0825395516,648.588868951874,NA
"3","Bulgaria",108777.635066691,474.619901477833,52034.6739032425,1.94779370418355,NA,14163.0670343447,51806.8292574383,NA
"4","Cyprus",604.088528527025,NA,NA,NA,NA,3516.96751405187,11.4782539789526,NA
"5","Czechia",87605.7277443757,NA,13334.9590247896,213.371946685561,NA,39685.851419807,22910.4599037073,NA
"6","Denmark",76931.8903559282,NA,NA,NA,NA,50805.2754922731,8466.90028800385,NA
"7","Estonia",10183.0785133516,NA,NA,NA,NA,10737.6295453447,4219.40616266297,NA
"8","Finland",21556.1744360265,NA,NA,NA,NA,42090.8693365082,7285.31531958226,NA
"9","France",588029.010427299,1810.01773399015,227017.141356789,1001.85211855068,NA,126530.301340071,138443.339907751,NA
"10","Germany",349147.251772708,NA,59548.303625255,22.1340193657221,NA,184368.649047957,98645.4650779396,NA
"11","Greece",87200.0501817965,2428.72801313629,35877.1846864198,0.132804116194333,NA,8469.58311153738,779.913598299302,NA
"12","Hungary",120474.129654202,252.210443349754,185148.743927823,794.854769442448,NA,24775.6606695832,45657.455966926,NA
"13","Ireland",9808.45170646032,NA,NA,NA,NA,12022.7168491565,344.347619368578,NA
"14","Italy",215858.912422823,23639.7099507389,164537.011899929,3937.84125133626,NA,26765.6657782722,9999.65230904033,NA
"15","Latvia",24111.9767092527,NA,NA,NA,NA,14164.5050551625,5617.5925355815,NA
"16","Lithuania",38538.8079620692,NA,296.999020574838,NA,NA,31241.0022663355,10181.8864707415,NA
"17","Luxembourg",1419.7033241408,NA,42.7678589627767,NA,NA,762.870043833878,322.876532513831,NA
"18","Malta",291.451136420535,NA,NA,NA,NA,35.9505204445748,NA,NA
"19","Netherlands",15816.8289803606,NA,2939.84480516003,NA,NA,3381.00264573048,222.813165473785,NA
"20","Poland",243891.355303296,NA,45198.7959461817,6.50740169352231,NA,182859.518100735,42433.2144242382,NA
"21","Portugal",11732.0292068359,2655.11093596059,15236.49525402,NA,NA,4863.09880157852,525.50147481287,7.77529431818182
"22","Romania",223336.539714056,583.785615763547,373170.953379708,3928.36789104773,NA,24881.4271007311,73216.9463278143,NA
"23","Slovakia",39133.4803769581,NA,22709.2876107035,266.405057085832,NA,14415.5115889065,15619.0003422892,NA
"24","Slovenia",3596.39492683847,NA,5916.07199034048,5.0022883766532,NA,1292.63691310513,200.194253221144,NA
"25","Spain",215251.573093159,11139.8174055829,51143.2313429871,13.9444322004049,NA,237936.722036396,42413.9714690382,37.8397656818182
"26","Sweden",40371.5872237907,NA,NA,NA,NA,23732.3765662816,6076.7226947396,NA
"27","United_Kingdom",205823.353023137,NA,NA,NA,NA,63848.1243095649,38837.3475291966,NA
"28","Argentina",280071,5313,220110,50094,0,33907.8662597294,24002.5366253028,25047
"29","Australia",263406,0,6006,0,0,165132.222023409,85944.1758566458,70356
"30","Bangladesh",14316,1113069,3579,0,0,0,7007.95438196752,8351
"31","Brazil",68910,163087,675318,87286,4594,59426.4786817207,693.587674994166,535201
"32","Canada",590688,0,156462,8790,0,172552.328687183,305975.303091592,NA
"33","Chile",45720,2032,30480,0,0,3533.95956192081,1335.40861088546,NA
"34","China,_mainland",4258200,5496400,4862200,453000,6040,194114.546287385,1291057.90166017,398421.791239087
"35","Egypt",302400,113400,340200,1260,0,56700,5339.66983491746,32090.1765958335
"36","Eu-27-2006",2793960,42984,1289520,10746,0,1167980.93228148,630099.920041025,45.6150609162241
"37","India",2892330,4131900,344325,137730,0,619785,473031.859420319,688650
"38","Indonesia",0,1057500,352500,9400,305500,NA,4938.95422142765,47000
"39","Iran_(Islamic_Republic_of)",414000,86250,63250,2300,0,92000,42063.3291574009,10614.3579729548
"40","Malaysia",0,81000,2700,0,351000,NA,1.67288568007081,1620
"41","Mexico",59360,5600,686560,0,13440,19357.6980216622,423.114399501708,68318.1914070658
"42","Morocco",63280,904,6780,0,0,42478.9409995159,420.509475945676,2800.85166561911
"43","Pakistan",1003971,249006,127152,0,0,15894,25728.5127204722,174238.481943671
"44","Philippines",0,208000,104000,0,2600,0,85.3877958368976,10400
"45","ROW-2006",943410,1015980,943410,36285,50799,401247.627385556,223021.557925373,255666.926446883
"46","Russian_Federation",401520,11472,69788,3824,0,153393.355821173,21418.3081669359,NA
"47","South_Africa",30888,0,205920,429,0,4204.79311196149,18194.5925108168,49335
"48","Thailand",0,310200,72380,1034,31020,2593.52689907212,1814.29183970329,51700
"49","Turkey",583905,12663,95676,1407,0,164691.856284143,29063.2719450625,NA
"50","United_States_of_America",1603980,227430,5793480,95760,0,339159.865005662,148480.528143406,48814.1728518124
"51","Viet_Nam",0,763640,134760,7861,0,0,9932.26935946463,44920
"52","World",16614315,15097830,16586556,907206,764993,NA,NA,NA
