"","Area","Fertilizer","Wheat","Rice","Maize","Soybean","Oil.Palm","CG","OS","SC"
"1","Argentina","N",280071,5313,220110,50094,0,33907.8662597294,24002.5366253028,25047
"2","Australia","N",263406,0,6006,0,0,165132.222023409,85944.1758566458,70356
"3","Bangladesh","N",14316,1113069,3579,0,0,0,7007.95438196752,8351
"4","Brazil","N",68910,163087,675318,87286,4594,59426.4786817207,693.587674994166,535201
"5","Canada","N",590688,0,156462,8790,0,172552.328687183,305975.303091592,NA
"6","Chile","N",45720,2032,30480,0,0,3533.95956192081,1335.40861088546,NA
"7","China,_mainland","N",4258200,5496400,4862200,453000,6040,194114.546287385,1291057.90166017,398421.791239087
"8","Egypt","N",302400,113400,340200,1260,0,56700,5339.66983491746,32090.1765958335
"9","Eu-27-2006","N",2793960,42984,1289520,10746,0,1167980.93228148,630099.920041025,45.6150609162241
"10","India","N",2892330,4131900,344325,137730,0,619785,473031.859420319,688650
"11","Indonesia","N",0,1057500,352500,9400,305500,NA,4938.95422142765,47000
"12","Iran_(Islamic_Republic_of)","N",414000,86250,63250,2300,0,92000,42063.3291574009,10614.3579729548
"13","Malaysia","N",0,81000,2700,0,351000,NA,1.67288568007081,1620
"14","Mexico","N",59360,5600,686560,0,13440,19357.6980216622,423.114399501708,68318.1914070658
"15","Morocco","N",63280,904,6780,0,0,42478.9409995159,420.509475945676,2800.85166561911
"16","Pakistan","N",1003971,249006,127152,0,0,15894,25728.5127204722,174238.481943671
"17","Philippines","N",0,208000,104000,0,2600,0,85.3877958368976,10400
"18","ROW-2006","N",943410,1015980,943410,36285,50799,401247.627385556,223021.557925373,255666.926446883
"19","Russian_Federation","N",401520,11472,69788,3824,0,153393.355821173,21418.3081669359,NA
"20","South_Africa","N",30888,0,205920,429,0,4204.79311196149,18194.5925108168,49335
"21","Thailand","N",0,310200,72380,1034,31020,2593.52689907212,1814.29183970329,51700
"22","Turkey","N",583905,12663,95676,1407,0,164691.856284143,29063.2719450625,NA
"23","United_States_of_America","N",1603980,227430,5793480,95760,0,339159.865005662,148480.528143406,48814.1728518124
"24","Viet_Nam","N",0,763640,134760,7861,0,0,9932.26935946463,44920
"25","World","N",16614315,15097830,16586556,907206,764993,NA,NA,NA
