NAME_LONG;SUM
Afghanistan;7.870493026
Angola;41.12550169
Albania;43.39644344
United Arab Emirates;1.900568173
Argentina;55.98132736
Armenia;32.36968305
Australia;34.39855154
Azerbaijan;25.67930172
Burundi;35.70825147
Benin;58.37958486
Burkina Faso;58.85275753
Bangladesh;65.05402331
Bahrain;6
Bosnia and Herzegovina;46.01374033
Belarus;45.19041603
Belize;51.20138639
Bolivia;37.65271672
Brazil;37.46278576
Brunei Darussalam;61.28826046
Bhutan;23.34498494
Botswana;26.30399619
Central African Republic;42.27243607
Canada;52.90569057
Switzerland;38.9919807
Chile;50.55634595
China;54.92953288
C??te d'Ivoire;36.49444815
Cameroon;54.82336607
Cyprus U.N. Buffer Zone;66.00000381
Democratic Republic of the Congo;36.60771335
Republic of the Congo;34.75946101
Colombia;37.82340166
Costa Rica;59.11021155
Cuba;49.46762919
Northern Cyprus;55.28125
Dominican Republic;55.50645739
Algeria;41.87419646
Ecuador;41.67266981
Egypt;33.72700312
Eritrea;46.84731931
Dhekelia;0
Ethiopia;48.10677865
Gabon;44.41064497
Georgia;47.30478099
Ghana;55.40471681
Guinea;47.21394846
The Gambia;36.89766705
Guinea-Bissau;50.15263415
Equatorial Guinea;54.23636223
Guatemala;47.5886423
Guyana;34.48109271
Honduras;49.62899047
Croatia;56.04028958
Haiti;52.01080577
Indonesia;59.30161483
India;63.79775131
Iran;25.27723093
Iraq;27.75056551
Israel;68.87929533
Jamaica;50.41951671
Jordan;30.643428
Japan;44.71204462
Kazakhstan;10.32906826
Kenya;36.83373688
Kyrgyzstan;12.78221936
Cambodia;55.34789973
Republic of Korea;42.44285959
Kosovo;37.0665568
Kuwait;0.942446083
Lao PDR;44.64062245
Lebanon;52.06455319
Liberia;50.94716163
Libya;37.40781641
Sri Lanka;65.69102
Lesotho;54.32823644
Morocco;49.72109747
Moldova;68.53050604
Madagascar;52.87974302
Mexico;49.60464179
Macedonia;27.82671948
Mali;54.74455763
Myanmar;51.85157828
Montenegro;47.98477208
Mongolia;2.509831314
Mozambique;51.10817415
Mauritania;36.19412837
Malawi;58.38160134
Malaysia;56.40091379
Namibia;12.88994168
Niger;33.93326866
Nigeria;53.14536398
Nicaragua;66.46626683
Norway;26.0885471
Nepal;39.26884248
New Zealand;41.63025949
Oman;9.856287455
Pakistan;37.06494661
Panama;65.46173157
Peru;18.3866459
Philippines;57.47327435
Papua New Guinea;57.03957306
Puerto Rico;41.53403254
Dem. Rep. Korea;64.84198072
Paraguay;46.56417709
Palestine;70.7500326
Russian Federation;44.56338886
Rwanda;36.52406321
Saudi Arabia;19.17768956
Sudan;49.05228101
South Sudan;55.52355091
Senegal;27.36784242
Sierra Leone;52.51515416
El Salvador;50.91787733
San Marino;55
Somaliland;39.15074761
Somalia;29.09220307
Serbia;52.36390602
Suriname;56.34406499
Swaziland;39.61459479
Syria;36.80208829
Chad;44.14396283
Togo;59.11386458
Thailand;45.89237119
Tajikistan;22.32862448
Turkmenistan;14.85694458
Timor-Leste;43.71497606
Trinidad and Tobago;48.76912911
Tunisia;54.07859367
Turkey;30.72251226
Taiwan;55.4152517
Tanzania;54.98337399
Uganda;45.38125093
Ukraine;63.11288305
Uruguay;80.2172942
United States;66.67575229
Uzbekistan;27.86891249
Venezuela;42.58360421
Vietnam;60.10697341
Yemen;13.29048212
South Africa;41.66683332
Zambia;47.430356
Zimbabwe;43.40218694
European Union;47.00276056
Austria;0
Belgium;0
Bulgaria;0
Cyprus;0
Czechia;0
Denmark;0
Estonia;0
Finland;0
France;0
Germany;0
Greece;0
Hungary;0
Ireland;0
Italy;0
Latvia;0
Lithuania;0
Luxembourg;0
Malta;0
Netherlands;0
Poland;0
Portugal;0
Romania;0
Slovakia;0
Slovenia;0
Spain;0
Sweden;0
